digits_actual,digits_predicted,len_predicted
49,49,2
28,28,2
3,3,1
258,258,3
5,5,1
3,3,1
54,54,2
21,21,2
33,33,2
680,660,3
62,62,2
97,97,2
54,54,2
21,21,2
99,99,2
2475,2475,4
55,55,2
19,19,2
233,233,3
72,72,2
82,82,2
124,124,3
58,58,2
66,66,2
9,9,1
437,437,3
40,40,2
48,48,2
55,55,2
62,62,2
9,9,1
171,171,3
137,137,3
54,54,2
19,110,3
154,154,3
14,14,2
13,13,2
71,71,2
188,188,3
76,76,2
349,349,3
20,20,2
10,10,2
41,41,2
27,27,2
365,365,3
3,3,1
62,62,2
553,553,3
45,45,2
29,29,2
92,92,2
17,17,2
19,19,2
67,67,2
83,83,2
531,531,3
13,13,2
3,5,1
6,62,2
10,10,2
70,70,2
257,257,3
68,68,2
2500,2500,4
2,2,1
15,35,2
158,158,3
61,61,2
38,38,2
2837,2227,4
49,49,2
42,22,2
75,75,2
11,11,2
58,58,2
60,60,2
32,32,2
47,47,2
42,42,2
37,37,2
60,60,2
40,40,2
41,41,2
119,19,2
13,13,2
27,27,2
109,109,3
178,178,3
83,83,2
45,45,2
27,2,1
2,2,1
51,151,3
15,15,2
108,108,3
2,2,1
290,290,3
160,160,3
265,265,3
50,50,2
119,119,3
231,231,3
57,2,1
6,6,1
745,745,3
15,15,2
157,157,3
358,358,3
94,94,2
543,583,3
27,27,2
3315,3315,4
29,29,2
50,50,2
12,12,2
19,19,2
39,39,2
24,24,2
11,11,2
2,2,1
60,60,2
144,144,3
57,57,2
33,33,2
28,28,2
49,49,2
164,164,3
15,15,2
23,23,2
18,18,2
65,65,2
149,149,3
14,14,2
70,70,2
159,159,3
410,410,3
89,89,2
9,9,1
34,34,2
32,32,2
47,47,2
45,13,2
15,15,2
121,121,3
68,68,2
41,41,2
29,29,2
5,5,1
6,6,1
291,291,3
15,15,2
2,2,1
13,13,2
30,30,2
24,24,2
10,10,2
475,475,3
9,2,1
26,26,2
12,12,2
11,1,1
124,124,3
4,5,1
47,47,2
67,67,2
237,237,3
30,31,2
2579,2579,4
14,14,2
101,101,3
13,103,3
17,17,2
50,50,2
72,72,2
5,3,1
41,41,2
946,946,3
50,50,2
167,167,3
19,19,2
261,261,3
99,99,2
69,69,2
281,281,3
83,83,2
340,340,3
200,200,3
74,74,2
71,71,2
47,47,2
47,47,2
3,3,1
30,30,2
35,35,2
71,71,2
11,13,2
94,94,2
21,21,2
59,59,2
3315,3315,4
8,8,1
28,28,2
25,25,2
238,238,3
49,49,2
60,60,2
53,53,2
127,127,3
1561,1561,4
70,70,2
19,19,2
22,22,2
156,156,3
34,34,2
39,39,2
215,215,3
52,52,2
27,27,2
2,2,1
184,184,3
379,379,3
253,253,3
2,2,1
3,3,1
187,187,3
4,4,1
35,35,2
74,74,2
37,37,2
31,31,2
201,201,3
13,13,2
6,6,1
141,121,3
530,530,3
64,64,2
87,87,2
28,28,2
15,15,2
128,128,3
21,21,2
207,207,3
257,257,3
13,13,2
293,293,3
1269,1269,4
18,18,2
14,14,2
47,47,2
5,5,1
38,38,2
29,29,2
23,23,2
220,220,3
66,66,2
10,10,2
3,3,1
11,11,2
973,973,3
28,28,2
312,312,3
107,107,3
101,101,3
103,103,3
19,19,2
5,5,1
170,170,3
11,11,2
71,71,2
25,25,2
124,124,3
20,20,2
1580,580,3
194,194,3
98,98,2
301,307,3
3,8,1
23,23,2
12,12,2
3,3,1
866,866,3
47,47,2
85,85,2
9,9,1
39,39,2
1979,1979,4
7,7,1
96,96,2
70,70,2
17,17,2
91,91,2
19,19,2
400,400,3
46,16,2
43,13,2
558,553,3
17,17,2
68,68,2
37,37,2
16,16,2
7,7,1
19,19,2
90,90,2
305,305,3
20,20,2
772,772,3
48,48,2
6,6,1
103,103,3
8,8,1
16,16,2
255,255,3
1,1,1
154,3,1
231,231,3
11,11,2
99,99,2
231,231,3
5,5,1
49,49,2
347,347,3
199,199,3
115,115,3
26,26,2
114,114,3
78,78,2
45,45,2
335,335,3
42,42,2
27,27,2
31,31,2
56,56,2
16,16,2
59,59,2
242,242,3
14,14,2
7,7,1
39,39,2
49,49,2
333,33,2
1223,1223,4
42,42,2
2,2,1
37,37,2
18,18,2
3,3,1
43,43,2
1415,445,3
166,166,3
32,32,2
72,12,2
28,23,2
207,207,3
36,36,2
64,64,2
163,163,3
51,51,2
36,66,2
35,33,2
48,48,2
26,26,2
4,4,1
140,140,3
28,28,2
134,134,3
24,24,2
33,33,2
57,57,2
19,19,2
410,410,3
10,10,2
50,50,2
21,21,2
10,10,2
13,13,2
22,22,2
24,24,2
68,68,2
59,59,2
240,240,3
27,27,2
268,268,3
93,93,2
27,27,2
93,93,2
2,2,1
56,56,2
89,89,2
1351,1351,4
12,12,2
9,9,1
1451,1451,4
3,3,1
87,87,2
47,47,2
436,19,2
565,565,3
300,300,3
219,219,3
2000,2000,4
10,16,2
86,86,2
40,40,2
56,56,2
30,30,2
114,114,3
182,182,3
98,68,2
65,65,2
51,51,2
24,24,2
38,38,2
11,64,2
565,565,3
120,120,3
48,48,2
131,131,3
24,24,2
5,5,1
56,56,2
33,33,2
2446,2446,4
146,146,3
1,1,1
1842,1842,4
217,217,3
187,187,3
10,10,2
233,233,3
223,444,3
28,48,2
32,32,2
95,95,2
12,12,2
65,65,2
10,10,2
30,30,2
133,133,3
21,21,2
126,126,3
58,58,2
264,264,3
47,47,2
121,121,3
114,114,3
392,392,3
58,58,2
45,45,2
22,22,2
7,7,1
284,284,3
54,54,2
326,326,3
79,79,2
64,64,2
28,28,2
40,40,2
47,47,2
38,38,2
73,73,2
15,15,2
2,2,1
719,719,3
257,257,3
155,155,3
82,42,2
91,91,2
836,836,3
19,19,2
53,53,2
7,7,1
309,309,3
68,68,2
8,8,1
81,81,2
3431,3431,4
18,18,2
75,75,2
211,211,3
248,248,3
36,38,2
256,266,3
165,2,1
105,103,3
45,45,2
30,30,2
43,43,2
308,308,3
48,48,2
3,3,1
579,579,3
27,27,2
145,115,3
43,43,2
64,64,2
17,17,2
5,5,1
55,505,3
212,125,3
1720,1720,4
194,194,3
3300,3300,4
62,62,2
356,356,3
178,178,3
4,4,1
138,138,3
14,14,2
396,396,3
31,31,2
2663,2663,4
24,24,2
6,6,1
88,82,2
1714,1714,4
505,505,3
442,442,3
418,418,3
122,172,3
62,62,2
258,258,3
280,280,3
291,291,3
289,289,3
68,68,2
211,211,3
21,21,2
35,35,2
120,120,3
32,32,2
206,206,3
221,221,3
936,936,3
89,89,2
230,230,3
2183,2183,4
272,272,3
48,48,2
1378,1311,4
2,22,2
185,185,3
63,63,2
5,5,1
55,55,2
418,418,3
345,33,2
57,57,2
361,361,3
114,114,3
81,81,2
36,46,2
6,6,1
39,39,2
34,34,2
172,172,3
403,403,3
16,16,2
46,46,2
207,207,3
112,112,3
122,122,3
35,35,2
1342,1342,4
10,10,2
47,47,2
13,13,2
2,2,1
24,24,2
111,111,3
110,110,3
67,67,2
10,10,2
414,414,3
1042,1042,4
2,2,1
2,2,1
415,415,3
19,19,2
36,36,2
118,118,3
84,84,2
303,303,3
410,410,3
33,33,2
5,5,1
41,41,2
38,38,2
10,10,2
296,296,3
38,36,2
36,36,2
2757,795,3
1170,170,3
18,108,3
58,58,2
41,41,2
2,2,1
50,50,2
5,5,1
40,40,2
207,201,3
2330,2330,4
23,23,2
913,713,3
150,150,3
315,315,3
90,90,2
134,134,3
45,45,2
10,10,2
2359,2335,4
190,190,3
45,45,2
136,136,3
8,8,1
62,62,2
19,19,2
0,1,1
40,40,2
27,27,2
36,36,2
30,30,2
11,11,2
250,250,3
11,11,2
191,191,3
19,19,2
48,48,2
60,60,2
71,71,2
13,13,2
1308,1300,4
125,125,3
214,214,3
7,7,1
94,94,2
202,202,3
206,206,3
50,50,2
3,3,1
50,50,2
117,117,3
52,52,2
23,23,2
30,30,2
27,27,2
23,23,2
856,856,3
129,129,3
17,47,2
94,19,2
2301,2301,4
72,72,2
271,271,3
506,506,3
11,11,2
451,451,3
2,2,1
13,13,2
47,47,2
232,232,3
57,57,2
21,21,2
17,17,2
50,50,2
2,2,1
29,29,2
16,16,2
78,78,2
30,30,2
5,5,1
2053,2265,4
4,4,1
8,6,1
85,85,2
25,25,2
95,95,2
38,38,2
60,60,2
95,95,2
87,89,2
238,236,3
203,203,3
39,39,2
2462,2462,4
5,5,1
31,31,2
22,22,2
55,55,2
40,40,2
88,88,2
1506,1506,4
85,85,2
12,12,2
504,504,3
123,123,3
3,3,1
8,8,1
69,69,2
29,29,2
56,36,2
269,39,2
150,150,3
608,608,3
151,151,3
65,65,2
88,88,2
185,185,3
64,64,2
8,8,1
51,51,2
11,101,3
1,1,1
358,358,3
31,31,2
5,5,1
197,117,3
18,126,3
70,70,2
28,28,2
128,128,3
39,39,2
193,193,3
421,421,3
326,326,3
220,220,3
31,31,2
8735,2735,4
172,172,3
2,2,1
27,77,2
37,37,2
88,88,2
133,133,3
9,9,1
50,50,2
13,15,2
1298,1798,4
14,14,2
41,41,2
78,78,2
334,334,3
8,8,1
769,769,3
30,30,2
10,30,2
54,54,2
8,8,1
48,48,2
45,45,2
2390,2390,4
70,70,2
45,45,2
351,351,3
18,18,2
429,9,1
4,2,1
137,137,3
23,23,2
20,20,2
1684,1684,4
9,9,1
51,51,2
27,27,2
83,93,2
67,67,2
127,127,3
67,67,2
14,14,2
336,339,3
50,50,2
52,52,2
9,5,1
66,66,2
115,115,3
40,40,2
154,54,2
418,418,3
77,77,2
46,46,2
127,127,3
30,30,2
337,337,3
4,4,1
40,40,2
107,107,3
6,6,1
22,22,2
88,88,2
79,79,2
618,318,3
80,50,2
75,75,2
16,16,2
6,8,1
10,10,2
24,24,2
65,65,2
9,9,1
17,17,2
113,113,3
1175,1175,4
1,11,2
22,22,2
2857,1275,4
3,3,1
57,57,2
19,19,2
44,44,2
145,45,2
47,47,2
320,320,3
1391,1391,4
24,24,2
296,296,3
8,8,1
67,67,2
9,9,1
2214,2214,4
32,32,2
69,69,2
1,1,1
182,182,3
72,72,2
226,226,3
23,23,2
20,20,2
122,122,3
143,143,3
8,8,1
77,77,2
51,51,2
16,16,2
3,3,1
241,241,3
27,27,2
22,22,2
18,18,2
284,284,3
40,40,2
2559,2559,4
74,14,2
275,275,3
30,30,2
72,72,2
11,11,2
174,174,3
79,79,2
167,167,3
129,129,3
14,14,2
74,34,2
41,41,2
58,58,2
239,238,3
46,46,2
106,106,3
39,39,2
48,48,2
397,397,3
103,103,3
44,54,2
106,105,3
1907,1907,4
394,394,3
25,25,2
58,58,2
201,201,3
0,1,1
18,18,2
387,387,3
33,33,2
154,154,3
32,37,2
444,444,3
80,80,2
309,309,3
20,20,2
1314,1314,4
106,106,3
86,66,2
375,375,3
31,31,2
504,504,3
317,37,2
20,20,2
208,208,3
4,4,1
767,266,3
48,48,2
49,48,2
39,39,2
6,98,2
174,174,3
610,610,3
431,431,3
18,18,2
51,51,2
64,54,2
60,60,2
13,13,2
100,100,3
22,22,2
158,158,3
96,96,2
20,20,2
34,34,2
58,58,2
12,12,2
1598,1558,4
5,5,1
12,12,2
35,35,2
57,57,2
32,32,2
21,21,2
51,51,2
14,14,2
90,90,2
58,58,2
19,19,2
26,26,2
10,10,2
21,21,2
43,48,2
88,88,2
8,98,2
30,30,2
87,87,2
2,2,1
30,30,2
139,139,3
20,20,2
127,127,3
60,60,2
48,48,2
30,30,2
46,46,2
4,4,1
107,107,3
138,8,1
230,230,3
286,286,3
45,45,2
91,91,2
49,49,2
126,126,3
30,30,2
419,419,3
5,5,1
79,79,2
93,93,2
266,266,3
78,48,2
11,11,2
454,554,3
35,35,2
316,316,3
32,32,2
30,30,2
1,1,1
29,29,2
18,18,2
38,38,2
1168,268,3
33,33,2
49,49,2
16,16,2
2227,2727,4
31,31,2
18,18,2
14,14,2
97,97,2
2,2,1
131,131,3
281,281,3
6,6,1
56,56,2
86,86,2
4,4,1
20,20,2
414,2,2
35,35,2
24,24,2
64,44,2
22,22,2
89,89,2
4,4,1
257,257,3
25,25,2
14,14,2
99,99,2
27,22,2
63,63,2
17,17,2
31,31,2
92,92,2
1,1,1
22,22,2
107,107,3
105,105,3
21,21,2
11,11,2
48,48,2
148,148,3
0,96,2
34,34,2
40,40,2
29,29,2
21,21,2
14,14,2
156,156,3
17,17,2
1,1,1
93,93,2
318,318,3
140,140,3
217,217,3
8,8,1
1,1,1
18,18,2
2127,2427,4
550,550,3
111,111,3
13,13,2
104,104,3
958,958,3
8197,1197,4
44,44,2
45,45,2
45,45,2
309,309,3
80,80,2
41,41,2
262,252,3
2,2,1
47,47,2
38,38,2
568,568,3
1633,1833,4
161,161,3
595,595,3
38,30,2
39,39,2
82,82,2
13,13,2
27,27,2
25,25,2
2,2,1
18,18,2
126,126,3
6,6,1
180,180,3
8,8,1
210,210,3
218,28,2
130,130,3
6,6,1
50,50,2
2,2,1
30,30,2
11,11,2
16,16,2
6,6,1
165,165,3
53,53,2
101,101,3
34,34,2
577,577,3
78,78,2
38,38,2
95,99,2
131,131,3
177,177,3
17,17,2
83,83,2
168,668,3
261,261,3
26,26,2
14,14,2
27,27,2
15,15,2
72,72,2
101,101,3
479,479,3
3,3,1
17,17,2
7,7,1
46,46,2
106,106,3
29,229,3
20,20,2
29,29,2
43,41,2
305,702,3
49,49,2
278,278,3
517,517,3
2,2,1
36,36,2
26,25,2
20,20,2
10,10,2
142,142,3
99,99,2
34,59,2
64,64,2
240,240,3
15,15,2
69,69,2
91,91,2
8,7,1
12,12,2
4,4,1
204,204,3
143,143,3
9,9,1
21,31,2
5,9,1
9,9,1
71,71,2
57,57,2
18,18,2
195,195,3
10,10,2
128,128,3
21,41,2
3,3,1
29,24,2
1,4,1
25,25,2
8,8,1
24,24,2
24,24,2
522,522,3
176,176,3
56,56,2
67,67,2
191,191,3
610,510,3
31,31,2
8,8,1
6,5,1
13,113,3
245,245,3
820,820,3
4,4,1
25,25,2
7,7,1
2,2,1
126,126,3
113,113,3
81,81,2
60,60,2
18,18,2
417,417,3
5,5,1
11,11,2
22,22,2
9,9,1
38,38,2
800,800,3
4,4,1
27,27,2
33,33,2
85,15,2
24,24,2
70,70,2
436,436,3
847,847,3
235,235,3
12,12,2
4221,1232,4
498,498,3
147,147,3
5130,330,3
55,55,2
6,6,1
68,68,2
11,11,2
41,41,2
31,31,2
21,21,2
45,45,2
170,170,3
33,43,2
272,272,3
29,29,2
11,11,2
1,1,1
67,67,2
32,32,2
24,24,2
1,1,1
43,43,2
214,214,3
8,8,1
546,548,3
29,29,2
61,61,2
32,32,2
50,50,2
3,3,1
7,7,1
46,46,2
101,101,3
59,59,2
34,34,2
10,10,2
10,10,2
207,207,3
53,53,2
105,105,3
17,11,2
1,1,1
2471,271,3
154,154,3
865,865,3
18,18,2
31,31,2
23,23,2
45,45,2
44,44,2
94,94,2
121,121,3
68,68,2
8,8,1
275,138,3
42,42,2
262,262,3
115,115,3
461,161,3
3,3,1
100,106,3
2,2,1
51,51,2
84,84,2
11,11,2
21,21,2
11,11,2
1914,1914,4
33,33,2
585,585,3
156,156,3
6,6,1
2,2,1
146,146,3
65,65,2
34,34,2
59,59,2
107,107,3
3,3,1
192,192,3
2441,2244,4
4,4,1
36,36,2
105,105,3
203,203,3
68,68,2
32,32,2
227,227,3
81,81,2
1080,1000,4
105,105,3
91,91,2
28,28,2
73,73,2
82,82,2
1441,442,3
2,2,1
48,48,2
21,21,2
13,13,2
20,20,2
875,875,3
19,19,2
42,42,2
30,30,2
340,330,3
361,361,3
69,69,2
45,45,2
4,4,1
75,75,2
46,46,2
250,250,3
212,212,3
23,23,2
19,19,2
18,18,2
27,27,2
19,19,2
27,27,2
23,23,2
4,4,1
69,69,2
46,46,2
114,114,3
109,109,3
1392,1312,4
36,36,2
48,48,2
105,105,3
12,12,2
15,15,2
103,105,3
43,43,2
12,12,2
32,32,2
4,4,1
67,67,2
39,39,2
10,10,2
12,12,2
4,4,1
48,46,2
56,56,2
165,165,3
1923,1924,4
26,26,2
8,8,1
284,284,3
1525,1525,4
375,375,3
176,176,3
29,29,2
53,53,2
171,171,3
29,29,2
3,3,1
172,172,3
22,22,2
85,85,2
14,14,2
9,9,1
401,401,3
1,1,1
83,83,2
42,42,2
319,319,3
93,93,2
28,28,2
33,33,2
24,24,2
16,16,2
9,9,1
37,57,2
47,47,2
13,13,2
4,1,1
4483,632,3
36,36,2
8,8,1
337,337,3
4,4,1
53,53,2
95,95,2
62,62,2
16,16,2
140,140,3
40,40,2
18,18,2
5,5,1
115,115,3
426,426,3
30,30,2
70,70,2
117,117,3
25,25,2
19,19,2
37,37,2
22,22,2
28,228,3
500,500,3
349,349,3
148,148,3
57,57,2
249,249,3
151,151,3
56,56,2
11,11,2
105,105,3
4,4,1
1172,172,3
79,79,2
6,6,1
258,258,3
199,199,3
114,114,3
27,27,2
6,6,1
89,89,2
43,43,2
303,303,3
45,45,2
510,510,3
22,22,2
10,10,2
4,4,1
15,15,2
34,34,2
322,322,3
29,29,2
340,340,3
26,26,2
15,15,2
20,20,2
1240,40,2
38,38,2
144,144,3
16,16,2
1,1,1
8,8,1
595,595,3
29,39,2
510,510,3
30,30,2
235,235,3
176,176,3
54,54,2
1,6,1
1,1,1
37,137,3
112,112,3
62,62,2
235,235,3
628,628,3
8,8,1
2442,242,3
6,6,1
72,72,2
193,193,3
27,27,2
736,736,3
2,2,1
40,40,2
164,164,3
324,324,3
24,24,2
8,8,1
44,44,2
40,40,2
86,29,2
388,388,3
21,21,2
81,81,2
964,964,3
7,7,1
20,20,2
21,21,2
11,1551,4
62,62,2
100,100,3
33,33,2
97,97,2
28,28,2
37,17,2
345,345,3
1631,1631,4
950,960,3
205,205,3
265,285,3
24,24,2
296,296,3
341,341,3
47,47,2
38,38,2
55,15,2
42,42,2
1,1,1
580,580,3
22,22,2
30,30,2
430,130,3
190,190,3
52,52,2
121,121,3
1762,1762,4
42,42,2
43,43,2
48,48,2
148,149,3
51,51,2
50,50,2
5,5,1
3,3,1
1,1,1
25,26,2
33,33,2
1,1,1
162,162,3
32,12,2
43,23,2
11,11,2
56,56,2
1,1,1
20,20,2
12,2,1
12,12,2
41,41,2
18,68,2
33,33,2
435,436,3
8,9,1
27,27,2
28,28,2
51,51,2
184,184,3
39,22,2
17,17,2
448,448,3
99,99,2
27,27,2
27,29,2
16,16,2
29,29,2
62,62,2
14,14,2
54,54,2
281,281,3
5,5,1
30,30,2
26,26,2
125,121,3
24,24,2
92,92,2
32,32,2
